local_date,intervals,mean_price,price_std,minimum_price,maximum_price,mean_grid_import,peak_grid_import,mean_total_cpu,settlement_cost,opening_ups,opening_tes,opening_cold_aisle,negative_price_share,representative_score
2025-12-05,96,77.68875,11.896187558249606,53.97,103.32,770.0703808791378,1186.60202648207,0.5654173999797231,1393.6380666968491,300.0,-0.0,23.0,0.0,0.42574677201515065
2025-07-31,96,82.45958333333333,9.557733921767133,68.05,100.04,771.7571571827287,1607.68314348125,0.5654166666666667,1495.6817503739078,300.0,-0.0,23.0,0.0,0.42724696528643386
2025-03-04,96,95.44416666666666,17.25338957798799,65.01,131.73,779.5778930215788,1601.49722093112,0.5654166666666667,1681.5834390457405,300.0,-0.0,23.0,0.0,0.4273126982470607
2025-12-01,96,72.92291666666667,15.114222644262952,45.74,91.85,771.1364706896507,1186.60213746425,0.5654166666666667,1316.3541402093688,300.0,-0.0,23.0,0.0,0.4274168100158001
2025-12-28,96,84.30666666666667,8.293545323628942,73.26,102.89,770.0499277840335,1271.63063141261,0.5654159333536104,1543.5355070793078,300.0,-0.0,23.0,0.0,0.4278501811219714
2025-07-19,96,82.44708333333334,11.104532400086068,57.75,102.01,771.1237592867619,1636.6216586211,0.5654166666666667,1489.6759448546175,300.0,-0.0,23.0,0.0,0.428197026177152
2025-03-02,96,91.45708333333333,13.105402495207974,69.92,124.21,771.7296970662004,1601.63062865245,0.5654159333536104,1644.1259337189565,300.0,-0.0,23.0,0.0,0.4309242852384583
2025-08-14,96,88.24041666666666,19.045433430652167,68.98,133.1,771.3423863421095,1186.61062000004,0.5654166666666668,1581.7709950465737,300.0,-0.0,23.0,0.0,0.4319095910453672
2025-11-10,96,79.19083333333333,11.13979038512671,62.51,106.14,769.9079992375368,1290.5232481458,0.563309622798403,1432.8694979557565,300.0,-0.0,23.0,0.0,0.431933433085165
2025-10-20,96,79.77624999999999,18.797227077137574,44.91,106.63,777.0435292624011,1681.93715414962,0.5654166666666667,1432.1234638099409,300.0,-0.0,23.0,0.0,0.4326004434165494
2025-09-08,96,86.76166666666667,21.239250986231607,62.47,133.71,776.9459911484533,1601.63062864211,0.563309622798403,1514.8653745618228,300.0,-0.0,23.0,0.0,0.43476878489390525
